release_year,album,title,lyrics
2012,Tempest,Soon After Midnight,"I’m searching for phrases to sing your praises

I need to tell someone

It’s soon after midnight and my day has just begun



A gal named Honey took my money

She was passing by

It’s soon after midnight and the moon is in my eye



My heart is cheerful, it’s never fearful

I been down on the killing floors

I’m in no great hurry, I’m not afraid of your fury

I've faced stronger walls than yours



Charlotte’s a harlot, dresses in scarlet

Mary dresses in green

It’s soon after midnight and I’ve got a date with a fairy queen



They chirp and they chatter, what does it matter

They’re lying there dying in their blood

Two Timing Slim, who’s ever heard of him?

I’ll drag his corpse through the mud



It’s now or never, more than ever

When I met you I didn’t think you would do

It’s soon after midnight and I don’t want nobody but you"
2012,Tempest,Pay in Blood,"Well I`m grinding my life away, steady and sure

Nothing more wretched than what I must endure

I`m drenched in the light that shines from the sun

I could stone you to death for the wrongs that you done



Sooner or later you`ll make a mistake

I`ll put you in a chain that you never can break

Legs and arms and body and bone

I pay in blood, but not my own



Night after night, day after day

They strip your useless hopes away

The more I take, the more I give

The more I die, the more I live



I got something in my pocket make your eyeballs swim

I got dogs that could tear you limb to limb

I`m circling around in the southern zone

I pay in blood, but not my own



Another political pumping out his piss

Another ragged beggar blowin’ ya a kiss

Life is short and it don’t last long

They`ll hang you in the morning and sing ya a song



Someone must have slipped a drug in your wine

You gulped it down and you lost your mind

My head so hard, it must be made of stone

I pay in blood, but not my own



How I made it back home nobody knows

Or how I survived so many blows

I been through hell, what good did it do?

My conscience is clear, what about you?



I’ll give you justice, I’ll fatten your purse

Show me your moral virtues first

Hear me holler hear me moan

I pay in blood but not my own



You bit your lover in the bed,

Come here I`ll break your lousy head

Our nation must be saved and freed

You been accused of murder, how do you plead?



This is how I spend my days

I came to bury not to praise

I`ll drink my fill and sleep alone

I pay in blood, but not my own

"
2012,Tempest,Scarlet Town,"In Scarlet Town where I was born

There’s ivy leaf and silver thorn

The streets have names you can’t pronounce

Gold is down to a quarter of an ounce



The music starts and the people sway

Everybody says, are you going my way?

Uncle Tom still working for Uncle Bill

Scarlet town is under the hill



Scarlet Town in the month of May

Sweet William on his deathbed lay

Mistress Mary by the side of the bed

Kissing his face, heaping prayers on his head



So brave, so true, so gentle is he

I’ll weep for him as he’d weep for me

Little Boy Blue come blow your horn

In Scarlet Town where I was born



Scarlet Town in the hot noon hours

There’s palm leaf shadows and scattered flowers

Beggars crouching at the gate

Help comes but it comes too late



On marble slabs and in fields of stone

You make your humble wishes known

I touched the garment but the hem was torn

In Scarlet Town where I was born



In Scarlet Town the end is near

The seven wonders of the world are here

The evil and the good living side by side

All human forms seem glorified



Put your heart on a platter and see who’ll bite

See who’ll hold you and kiss you good night

There’s walnut groves and maple wood

In Scarlet town crying won’t do you no good



In Scarlet Town you fight your father’s foes

Up on the hill a chilly wind blows

You fight ‘em on high and you fight ‘em down in

You fight ‘em with whisky, morphine and gin



You got legs that can drive men mad

A lot of things we didn’t do that I wish we had

In Scarlet Town the sky is clear

You'll wish to God that you stayed right here



Set ‘em up Joe, play Walking The Floor

Play it for my flat chested junky whore

I’m staying up late and I’m making amends

While the smile of heaven descends



If love is a sin than beauty is a crime

All things are beautiful in their time

The black and the white, the yellow and the brown

It’s all right there for ya in Scarlet Town
"
2012,Tempest,Narrow Way,"I’m gonna walk across the desert ‘til I’m in my right mind

I won’t even think about what I left behind

Nothin' back there anyway I can call my own

Go back home, leave me alone



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



Ever since the British burned the white house down

There’s a bleeding wound in the heart of town

I saw you drinking from an empty cup

I saw you buried and I saw you dug up



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



Look down angel, from the skies

Help my weary soul to rise

I kissed your cheek, I dragged your plow

You broke my heart. I was your friend ‘til now



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



In the courtyard of the golden sun

You stand and fight or you break and run

You went and lost your lovely head

For a drink of wine and a crust of bread



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



We looted and we plundered on distant shores

Why is my share not equal to yours?

Your father left you, your mother too

Even death has washed his hands of you



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



This is hard country to stay alive in

Blades are everywhere and they’re breaking my skin

I’m armed to the hilt and I’m struggling hard

You won’t get out of here unscarred



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



You got too many lovers waiting at the wall

If I had a thousand tongues I couldn’t count them all

Yesterday I could have thrown them all in the sea

Today, even one may be too much for me



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



Cake walking baby, you can do no wrong

Put your arms around me where they belong

I want to take you on a roller coaster ride

Lay my hands all over you, tie you to my side



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



I got a heavy stacked woman with a smile on her face

And she has crowned my soul with grace

I’m still hurting from an arrow that pierced my chest

I’m gonna have to take my head and bury it between your breasts



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



Been dark all night, but now it’s dawn

The moving finger is moving on

You can guard me while I sleep

Kiss away the tears I weep



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday



I love women and she loves men

We’ve been to the West and we going back again

I heard a voice at the dusk of day

Saying, “Be gentle brother, be gentle and pray”



It’s a long road, it’s a long and narrow way

If I can’t work up to you

You’ll have to work down to me someday
"
2012,Tempest,Tin Angel,"It was late last night when the boss came home

To a deserted mansion and a desolate throne

Servant said, “Boss, the lady’s gone

She left this morning just ‘fore dawn.”



“You got something to tell me, tell it to me, man.

Come to the point as straight as you can.”

“Old Henry Lee, chief of the clan,

Came riding through the woods and took her by the hand.”



The boss he laid back flat on his bed

He cursed the heat and he clutched his head

He pondered the future of his fate

To wait another day would be far too late



""Go fetch me my coat and my tie

And the cheapest labor that money can buy

Saddle me up my buckskin mare

If you see me go by, put up a prayer.""



Well, they rode all night and they rode all day

Eastward long on the broad highway

His spirit was tired and his vision was bent

His men deserted him and onward he went



He came to a place where the light was dull

His forehead pounding in his skull

Heavy heart was wracked with pain

Insomnia raging in his brain



Well he threw down his helmet and his cross-handled sword

He renounced his faith, he denied his Lord

Crawled on his belly, put his ear to the wall

One way or another he'd put an end to it all



He leaned down, cut the electric wire

Stared into the flames and he snorted the fire

Peered through the darkness, caught a glimpse of the two

It was hard to tell for certain who was who



He lowered himself down on a golden chain

His nerves were quaking in every vein

His knuckles were bloody, he sucked in the air

He ran his fingers through his greasy hair



They looked at each other and their glasses clinked

One single unit inseparably linked

“Got a strange premonition there’s a man close by.”

“Don’t worry about him, he wouldn’t harm a fly.”



From behind the curtain the boss crossed the floor

He moved his feet and he bolted the door

Shadows hiding the lines in his face

With all the nobility of an ancient race



She turned, she was startled with a look of surprise

With a hatred that could hit the skies

“You’re a reckless fool, I can see it in your eyes.

To come this way was by no means wise.”



“Get up, stand up, you greedy lipped wench

And cover your face or suffer the consequence.

You are making my heart full sick.

Put your clothes back on double quick.”



“Silly boy, you think me a saint.

I’ll listen no more to your words of complaint.

You’ve given me nothing but the sweetest lies.

Now hold your tongue and feed your eyes.”



“I’d have given you the stars and the planets too

But what good would these things do you?

Bow the heart, if not the knee

Or never again this world you’ll see.”



“Oh, please let not your heart be cold.

This man is dearer to me than gold.”

“Oh my dear, you must be blind.

He’s a gutless ape with a worthless mind.”



“You had your way too long with me.

Now it’s me who’ll determine how things shall be.

Try to escape,” he cussed and cursed

“You’ll have to try to get past me first.”



“I dare not let your passion rule.

You think my heart, the heart of a fool.

And you sir, you cannot deny

You made a monkey of me, what and for why?”



“I’ll have no more of this insulting chat.

The devil can have you, I’ll see to that.

Look sharp or step aside,

Or in the cradle you’ll wish you died.”



The gun went boom and the shot rang clear

First bullet grazed his ear

Second ball went right straight in

And he bent in the middle like a twisted pin



He crawled to the corner and he lowered his head

He gripped the chair and he grabbed the bed

It would take more than needle and thread

Bleeding from the mouth, he’s as good as dead



“You shot my husband down, you fiend.”

“Husband, what husband, what the hell do you mean?

He was a man of strife, a man of sin.

I cut him down and I’ll throw him to the wind.”



“Hear this,” she said, with angry breath

“You too shall meet the lord of death.

It was I who brought your soul to life.”

And she raised her robe and she drew out a knife



His face was hard and caked with sweat

His arms ached and his hands were wet

“You’re a murderous queen and a bloody wife.

If you don’t mind, I’ll have the knife.”



“We’re two of a kind and our blood runs hot.

But we’re no way similar in body and thought.

All husbands are good men, as all wives know.”

Then she pierced him to the heart and his blood did flow



His knees went limp and he reached for the door

His doom was sealed, he slid to the floor

He whispered in her ear, “This is all your fault.

My fighting days have come to a halt.”



She touched his lip and kissed his cheek

He tried to speak, but his breath was weak

“You died for me, now I'll die for you.”

She put the blade to her heart and she ran it through



All three lovers together in a heap

Thrown into the grave forever to sleep

Funeral torches blazed away

Through the towns and the villages all night and all day"
2012,Tempest,Tempest,"The pale moon rose in its glory

Out on the western town

She told a sad, sad story

Of the great ship that went down



‘Twas the fourteen day of April

Over the waves she rode

Sailing into tomorrow

To a golden age foretold



The night was bright with starlight

The seas were sharp and clear

Moving through the shadows

The promised hour was near



Lights were holding steady

Gliding over the foam

All the lords and ladies

Heading for their eternal home



The chandeliers were swaying

From the balustrades above

The orchestra was playing

Songs of faded love



The watchman he lay dreaming

As the ballroom dancers twirled

He dreamed the Titanic was sinking

Into the underworld



Leo took his sketchbook

He was often so inclined

He closed his eyes and painted

The scenery in his mind



Cupid struck his bosom

And broke it with a snap

The closest woman to him

He fell into her lap



He heard a loud commotion

Something sounded wrong

His inner spirit was saying

That he couldn’t stand here long



He staggered to the quarterdeck

No time now to sleep

Water on the quarterdeck

Already three foot deep



Smokestack leaning sideways

Heavy feet began to pound

He walked into the whirlwind

Sky spinning all around



The ship was going under

The universe opened wide

The roll was called up yonder

The angels turned aside



Lights down in the hallway

Flickering dim and dull

Dead bodies already floating

In the double bottomed hull



The engines then exploded

Propellers they failed to start

The boilers overloaded

The ship's bow split apart



Passengers were flying

Backward, forward, far and fast

They mumbled, fumbled, tumbled

Each one more weary than the last



The veil was torn asunder

‘Tween the hours of twelve and one

No change, no sudden wonder

Could undo what had been done



The watchman lay there dreaming

At fourty-five degrees

He dreamed the Titanic was sinking

Dropping to her knees



Wellington, he was sleeping

His bed began to slide

His valiant heart was beating

He pushed the tables aside



Glass of shattered crystal

Lay scattered ‘round about

He strapped on both his pistols

How long could he hold out?



His men and his companions

Were nowhere to be seen

In silence there he waited for

Time and space to intervene



The passageway was narrow

There was blackness in the air

He saw every kind of sorrow

Heard voices everywhere



Alarm bells were ringing

To hold back the swelling tide

Friends and lovers clinging

To each other side by side



Mothers and their daughters

Descending down the stairs

Jumped into the icy waters

Love and pity sent their prayers



The rich man, Mr. Astor

Kissed his darling wife

He had no way of knowing

Be the last trip of his life



Calvin, Blake and Wilson

Gambled in the dark

Not one of them would ever live to

Tell the tale of disembark



Brother rose up against brother

In every circumstance

They fought and slaughtered each other

In a deadly dance



They lowered down the lifeboats

From the sinking wreck

There were traitors, there were turncoats

Broken backs and broken necks



The bishop left his cabin

To help all those in need

Turned his eyes up to the heavens

Said, “The poor are yours to feed.”



Davey the brothel keeper

Came out, dismissed his girls

Saw the water getting deeper

Saw the changing of his world



Jim Dandy smiled

He'd never learned to swim

Saw the little crippled child

And he gave his seat to him



He saw the starlight shining

Streaming from the East

Death was on the rampage

But his heart was now at peace



They battened down the hatches

But the hatches wouldn’t hold

They drowned upon the staircase

Of brass and polished gold



Leo said to Cleo

“I think I’m going mad.”

But he'd lost his mind already

Whatever mind he had



He tried to block the doorway

To save all those from harm

Blood from an open wound

Pouring down his arm



Petals fell from flowers

‘Til all of them were gone

In the long and dreadful hours

The wizard’s curse played on



The host was pouring brandy

He was going down slow

He stayed right ‘til the end

He was the last to go



There were many, many others

Nameless here forevermore

They'd never sailed the ocean

Or left their homes before



The watchman, he lay dreaming

The damage had been done

He dreamed the Titanic was sinking

And he tried to tell someone



The captain, barely breathing

Kneeling at the wheel

Above him and beneath him

Fifty thousand tons of steel



He looked over at his compass

And he gazed into its face

Needle pointing downward

He knew he lost the race



In the dark illumination

He remembered bygone years

He read the Book of Revelation

And he filled his cup with tears



When the Reaper’s task had ended

Sixteen hundred had gone to rest

The good, the bad, the rich, the poor

The loveliest and the best



They waited at the landing

And they tried to understand

But there is no understanding

On the judgment of God’s hand



News came over the wires

And struck with deadly force

Love had lost its fires

All things had run their course



The watchman he lay dreaming

Of all things that can be

He dreamed the Titanic was sinking

Into the deep blue sea
"
2012,Tempest,Duquesne Whistle,"Listen to that Duquesne whistle blowin’

Blowin’ like it’s gonna sweep my world away

I’m gonna stop in Carbondale and keep on going

That Duquesne train gonna ride me night and day



You say I’m a gambler, you say I’m a pimp

But I ain’t neither one



Listen to that Duquesne whistle blowin’

Sound like it’s on a final run



Listen to that Duquesne whistle blowin’

Blowin’ like she never blowed before

Blue light blinkin’, red light glowin’

Blowin’ like she’s at my chamber door



You smiling through the fence at me

Just like you always smiled before



Listen to that Duquesne whistle blowin’

Blowin’ like she ain’t gonna blow no more



Can’t you hear that Duquesne whistle blowin’

Blowin’ like the sky’s gonna blow apart

You’re the only thing alive that keeps me goin’

You’re like a time bomb in my heart



I can hear a sweet voice gently calling

Must be the Mother of our Lord



Listen to that Duquesne whistle blowin’

Blowin’ like my woman’s on board



Listen to that Duquesne whistle blowin’

Blowin’ like it’s gonna blow my blues away

You ole rascal, I know exactly where you’re goin’

I’ll lead you there myself at the break of day



I wake up every morning with that woman in my bed

Everybody telling me she’s gone to my head





Listen to that Duquesne whistle blowin’

Blowin’ like it’s gonna kill me dead



Can’t you hear that Duquesne whistle blowin’

Blowin’ through another no-good town

The lights of my native land are glowin’

I wonder if they’ll know me next time around



I wonder if that old oak tree’s still standing

That old oak tree, the one we used to climb



Listen to that Duquesne whistle blowin’

Blowin’ like she’s blowin’ right on time
"
2012,Tempest,Long and Wasted Years,"It’s been such a long, long time

Since we loved each other and our hearts were true

One time, for one brief day

I was the man for you



Last night I heard you talking in your sleep

Saying things you shouldn’t say

Oh, baby

You just might have to go to jail some day



Is there a place we can go?

Is there anybody we can see?

Maybe what's right for you

Isn't really right for me



I ain’t seen my family in twenty years

That ain’t easy to understand

They may be dead by now

I lost track of them after they lost their land



Shake it up baby, twist and shout

You tell me what it's all about

What you doing out in the sun anyway?

Don’t you know the sun can burn your brains right out?



My enemy slammed into the earth

I don’t know what he was worth

But he lost it all, everything and more

What a blithering fool he took me for



I wear dark glasses to cover my eyes

There’re secrets in them I can’t disguise

Come back, baby

If I hurt your feelings, I apologize



Two trains running side by side

Forty miles wide down the Eastern line

You don’t have to go, I just came to you

Because you’re a friend of mine



I think when my back was turned

The whole world behind me burned

Maybe today, if not today, maybe tomorrow

Maybe there’ll be a limit on all my sorrow



We cried on a cold and frosty morn’

We cried because our souls were torn

So much for tears

So much for those long and wasted years.

"
2012,Tempest,Roll on John,"Doctor, doctor, tell me the time of day

Another bottle’s empty, another penny spent

He turned around and he slowly walked away

They shot him in the back and down he went



Shine your light

Move it on

You burned so bright

Roll on, John



From the Liverpool docks to the red light Hamburg streets

Down in the quarry with the Quarrymen

Playing to the big crowds, playing to the cheap seats

Another day in the life on your way to your journey’s end



Shine your light

Move it on

You burned so bright

Roll on, John



Sailing through the trade winds bound for the South

Rags on your back just like any other slave

They tied your hands and they clamped your mouth

Wasn’t no way out of that deep, dark cave



Shine your light

Move it on

You burned so bright

Roll on, John



I heard the news today, oh boy

They hauled your ship up on the shore

Now the city gone dark, there is no more joy

They tore the heart right out and cut it to the core



Shine your light

Move it on

You burned so bright

Roll on, John



Put down your bags and get ‘em packed

Leave right now, you won’t be far from wrong

The sooner you go, the quicker you’ll be back

You been cooped up on an island far too long



Shine your light

Move it on

You burned so bright

Roll on, John



Slow down, you’re moving way too fast

Come together right now over me

Your bones are weary, you’re about to breathe your last

Lord, you know how hard that it can be



Shine your light

Move it on

You burned so bright

Roll on, John



Roll on John, roll through the rain and snow

Take the right hand road and go where the buffalo roam

They’ll trap you in an ambush ‘fore you know

Too late now to sail back home



Shine your light

Move it on

You burned so bright

Roll on, John



Tyger, tyger, burning bright

I pray the Lord my soul to keep

In the forest of the night

Cover him over, and let him sleep



Shine your light

Move it on

You burned so bright

Roll on, John"
2020,Rough and Rowdy Ways,Crossing the Rubicon,"I crossed the Rubicon on the 14th day of the most dangerous month of the year

At the worst time at the worst place - that’s all I seem to hear

I got up early so I could greet the Goddess of the Dawn

I painted my wagon - I abandoned all hope and I crossed the Rubicon



The Rubicon is the Red River, going gently as she flows

Redder then your ruby lips and the blood that flows from the rose

Three miles north of purgatory - one step from the great beyond

I prayed to the cross and I kissed the girls and I crossed the Rubicon



What are these dark days I see in this world so badly bent

How can I redeem the time - the time so idly spent

How much longer can it last - how long can this go on

I embraced my love put down my head and I crossed the Rubicon



I feel the bones beneath my skin and they’re tremblin’ with rage

I’ll make your wife a widow - you’ll never see old age

Show me one good man in sight that the sun shines down upon

I pawned my watch and I paid my debts and I crossed the Rubicon



Put my heart upon the hill where some happiness I’ll find

If I survive then let me love - let the hour be mine

Take the high road - take the low, take the one you’re on

I poured the cup and I passed it along and I crossed the Rubicon



You defiled the most lovely flower in all of womanhood

Others can be tolerant - others can be good

I’ll cut you up with a crooked knife and I’ll miss you when you’re gone

I stood between heaven and earth and I crossed the Rubicon



You won’t find any happiness here - no happiness or joy

Go back to the gutter and try your luck - find you some nice young pretty boy

Tell me how many men I need and who I can count upon

I strapped my belt and buttoned my coat and I crossed the Rubicon



I feel the Holy Spirit inside and see the light that freedom gives

I believe it’s within the reach of every man who lives

Keep as far away as possible - it’s darkest ‘fore the dawn

I turned the key and I broke it off and I crossed the Rubicon



Mona Baby, are you still in my mind - I truly believe that you are

Couldn’t be anybody else but you who’s come with me this far

The killing frost is on the ground and the autumn leaves are gone

I lit the torch and I looked to the east and I crossed the Rubicon
"
2020,Rough and Rowdy Ways,Murder Most Foul,"‘Twas a dark day in Dallas - November ‘63

The day that will live on in infamy

President Kennedy was riding high

A good day to be living and a good day to die

Being led to the slaughter like a sacrificial lamb

Say wait a minute boys, do you know who I am?

Of course we do, we know who you are

Then they blew off his head when he was still in the car

Shot down like a dog in broad daylight

‘Twas a matter of timing and the timing was right

You got unpaid debts and we’ve come to collect

We’re gon’ kill you with hatred and without any respect

We’ll mock you and shock you, we’ll grin in your face

We’ve already got someone here to take your place

The day that they blew out the brains of the king

Thousands were watching, no one saw a thing

It happened so quickly - so quick by surprise

Right there in front of everyone’s eyes



Greatest magic trick ever under the sun

Perfectly executed, skillfully done

Wolfman, oh wolfman, oh wolfman, howl

Rub a dub dub – it’s murder most foul



Hush lil children, you’ll soon understand

The Beatles are coming they’re gonna hold your hand

Slide down the banister, go get your coat

Ferry ‘cross the Mersey and go for the throat

There’s three bums comin’ all dressed in rags

Pick up the pieces and lower the flags

I’m going to Woodstock, it’s the Aquarian Age

Then I’ll go over to Altamont and sit near the stage

Put your head out the window, let the good times roll

There’s a party going on behind the grassy knoll

Stack up the bricks and pour the cement

Don’t say Dallas don’t love you, Mr. President

Put your foot in the tank and step on the gas

Try to make it to the triple underpass

Black face singer - white face clown

Better not show your faces after the sun goes down



I’m in the red-light district like a cop on the beat

Living in a nightmare on Elm Street

When you’re down on Deep Ellum put your money in your shoe

Don’t ask what your country can do for you

Cash on the barrel head, money to burn

Dealey Plaza, make a left hand turn

Go down to the crossroads, try to flag a ride

That’s the place where Faith, Hope and Charity died

Shoot ‘em while he runs, boy, shoot ‘em while you can

See if you can shoot the Invisible Man

Goodbye, Charlie, goodbye Uncle Sam Frankly, Miss Scarlet, I don’t give a damn

What is the truth and where did it go

Ask Oswald and Ruby - they oughta know

Shut your mouth, says the wise old owl

Business is business and it’s murder most foul



Tommy can you hear me, I’m the Acid Queen

I’m ridin’ in a long black Lincoln limousine

Ridin’ in the back seat, next to my wife

Heading straight on into the afterlife

I’m leaning to the left, got my head in her lap

Oh Lord, I’ve been led into some kind of a trap

We ask no quarter, no quarter do we give

We’re right down the street from the street where you live

They mutilated his body and took out his brain

What more could they do, they piled on the pain

But his soul was not there where it was supposed to be at

For the last fifty years they’ve been searching for that

Freedom, oh freedom, freedom over me

Hate to tell you, Mister, but only dead men are free

Send me some loving - tell me no lie

Throw the gun in the gutter and walk on by

Wake up, Little Suzie, let’s go for a drive

Cross the Trinity River, let’s keep hope alive

Turn the radio on, don’t touch the dials

Parkland Hospital’s only six more miles

You got me dizzy Miss Lizzy, you filled me with lead

That magic bullet of yours has gone to my head

I’m just a patsy like Patsy Cline

I never shot anyone from in front or behind

Got blood in my eyes, got blood in my ear

I’m never gonna make it to the New Frontier



Zapruder’s film, I’ve seen that before

Seen it thirty three times, maybe more

It’s vile and deceitful - it’s cruel and it’s mean

Ugliest thing that you ever have seen

They killed him once, they killed him twice

Killed him like a human sacrifice

The day that they killed him, someone said to me, “Son, The age of the anti-Christ has just only begun.”

Air Force One coming in through the gate

Johnson sworn in at two thirty-eight

Let me know when you decide to throw in the towel

It is what it is and it’s murder most foul



What’s New Pussycat - wha’d I say

I said the soul of a nation been torn away

It’s beginning to go down into a slow decay

And that it’s thirty-six hours past judgment day

Wolfman Jack, he’s speaking in tongues

He’s going on and on at the top of his lungs

Play me a song, Mr. Wolfman Jack

Play it for me in my long Cadillac

Play that Only The Good Die Young

Take me to the place where Tom Dooley was hung

Play St. James Infirmary in the court of King James

If you want to remember, better write down the names

Play Etta James too, play I’d Rather Go Blind

Play it for the man with the telepathic mind

Play John Lee Hooker play Scratch My Back

Play it for that strip club owner named Jack

Guitar Slim - Goin’ Down Slow

Play it for me and for Marilyn Monroe

And please, Don’t Let Me Be Misunderstood

Play it for the First Lady, she ain’t feeling that good

Play Don Henley - play Glenn Frey

Take it to the Limit and let it go by

And play it for Carl Wilson, too

Lookin’ far, far away down Gower Avenue

Play Tragedy, play Twilight Time

Take Me Back to Tulsa to the scene of the crime

Play another one and Another One Bites the Dust

Play the Old Rugged Cross and in G-d We Trust

Ride the Pink Horse down that Long, Lonesome Road

Stand there and wait for his head to explode

Play Mystery Train for Mr. Mystery

The man who fell down dead, like a rootless tree

Play it for the Reverend, play it for the Pastor

Play it for the dog that’s got no master

Play Oscar Peterson and play Stan Getz

Play Blue Sky, play Dickie Betts

Play Art Pepper, play Thelonious Monk

Charlie Parker and all that junk

All that junk and All That Jazz

Play something for The Birdman of Alcatraz

Play Buster Keaton play Harold Lloyd

Play Bugsy Siegel play Pretty Boy Floyd

Play all the numbers, play all the odds

Play Cry Me A River for the Lord of the Gods

Play number nine, play number six

Play it for Lindsey and Stevie Nicks

Play Nat King Cole, play Nature Boy

Play Down in the Boondocks for Terry Malloy

Play It Happened One Night and One Night of Sin

There’s twelve million souls that are listening in

Play the Merchant of Venice, play the merchants of death

Play Stella by Starlight for Lady Macbeth

Don’t worry Mr. President, help’s on the way

Your brothers are comin’, there’ll be hell to pay

Brothers? What brothers? What’s this about hell?

Tell ‘em we’re waitin’- keep coming - we’ll get ‘em as well

Love Field is where his plane touched down

But it never did get back up off of the ground

Was a hard act to follow, second to none

They killed him on the Altar of the Rising Sun

Play Misty for me and that Old Devil Moon

Play Anything Goes and Memphis in June

Play Lonely at the Top and Lonely Are the Brave

Play it for Houdini spinning around in his grave Play Jelly Roll Morton, play Lucille

Play Deep in a Dream and play Drivin’ Wheel  Play Moonlight Sonata in F sharp

And Key to the Highway by the king of the harp

Play Marchin’ Through Georgia and Dumbarton’s Drums

Play Darkness and death will come when it comes

Play Love Me or Leave Me by the great Bud Powell

Play the Blood Stained Banner - play Murder Most Foul
"
2020,Rough and Rowdy Ways,Key West (Philosopher Pirate),"McKinley hollered - McKinley squalled

Doctor said McKinley - death is on the wall

Say it to me if you got something to confess

I heard all about it - he was going down slow

Heard it on the wireless radio

From down in the boondocks - way down in Key West



I’m searchin’ for love and inspiration

On that pirate radio station

It’s comin’ out of Luxembourg and Budapest

Radio signal clear as can be

I’m so deep in love I can hardly see

Down in the flatlands - way down in Key West



Key West is the place to be

If you’re lookin’ for immortality

Stay on the road – follow the highway sign

Key West is fine and fair

If you lost your mind, you’ll find it there

Key West is on the horizon line



I was born on the wrong side of the railroad track

Like Ginsberg, Corso and Kerouac

Like Louie and Jimmy and Buddy and all of the rest

It might not be the thing to do

But I’m stickin’ with you through and through

Down in the flatlands - way down in Key West



I got both my feet planted square on the ground

Got my right hand high with the thumb down

Such is life - such is happiness

Hibiscus flowers grow everywhere here

If you wear one put it behind your ear

Down on the bottom - way down in Key West



Key West is the place to go

Down by the Gulf of Mexico

Beyond the sea - beyond the shifting sand

Key West is the gateway key

To innocence and purity

Key West - Key West is the enchanted land



I’ve never lived in the land of Oz

Or wasted my time with an unworthy cause

It’s hot down here and you can’t be overdressed

The tiny blossoms of a toxic plant

They can make you dizzy - I’d like to help ya but I can’t

Down in the flatlands - way down in Key West



The fishtail ponds and the orchid trees

They can give you the bleedin’ heart disease

People tell me - I oughta try a little tenderness

Amelia Street - Bay View Park

Walkin’ in the shadows after dark

Down under - way down in Key West



I play the gumbo limbo spirituals

I know all the Hindu rituals

People tell me that I’m truly blessed

Bougainvillea bloomin’ in the summer and spring

Winter here is an unknown thing

Down the flatlands - way down in Key West



Key West is under the sun

Under the radar - under the gun

You stay to the left and then you lean to the right

Feel the sunlight on your skin

And the healing virtues of the wind

Key West - Key West is the land of light



Wherever I travel - wherever I roam

I’m not that far from the convent home

I do what I think is right - what I think is best

Mystery Street off Mallory Square

Truman had his White House there

Eastbound - westbound

Way down in Key West



Twelve years old and they put me in a suit

Forced me to marry a prostitute

There were gold fringes on her wedding dress

That’s my story but not where it ends

She’s still cute and we’re still friends

Down in the bottom - way down in Key West



I play both sides against the middle

Pickin’ up that pirate radio signal

I heard the news - I heard your last request

Fly around my Pretty Little Miss

I don’t love nobody - gimme a kiss

Down at the bottom - way down in Key West



Key West is the place to be

If you’re lookin’ for immortality

Key West is paradise divine

Key West is fine and fair

If you lost your mind you’ll find it there

Key West is on the horizon line
"
2020,Rough and Rowdy Ways,False Prophet,"Another day without end - another ship going out

Another day of anger - bitterness and doubt

I know how it happened - I saw it begin

I opened my heart to the world and the world came in



Hello Mary Lou - Hello Miss Pearl

My fleet footed guides from the underworld

No stars in the sky shine brighter than you

You girls mean business and I do too



I’m the enemy of treason - the enemy of strife

I’m the enemy of the unlived meaningless life

I ain’t no false prophet - I just know what I know

I go where only the lonely can go



I’m first among equals - second to none

I’m last of the best - you can bury the rest

Bury ‘em naked with their silver and gold

Put ‘em six feet under and then pray for their souls



What are you lookin’ at - there’s nothing to see

Just a cool breeze encircling me

Let’s walk in the garden - so far and so wide

We can sit in the shade by the fountain side



I’ve searched the world over for the Holy Grail

I sing songs of love - I sing songs of betrayal

Don’t care what I drink - don’t care what I eat

I climbed a mountain of swords on my bare feet



You don’t know me darlin’ - you never would guess

I’m nothing like my ghostly appearance would suggest

I ain’t no false prophet - I just said what I said

I’m here to bring vengeance on somebody’s head



Put out your hand - there’s nothin’ to hold

Open your mouth - I’ll stuff it with gold

Oh you poor Devil - look up if you will

The City of God is there on the hill



Hello stranger - Hello and goodbye

You rule the land but so do I

You lusty old mule - you got a poisoned brain

I’m gonna marry you to a ball and chain



You know darlin’ the kind of life that I live

When your smile meets my smile - something’s got to give

I ain’t no false prophet - I’m nobody’s bride

Can’t remember when I was born and I forgot when I died
"
